Accidentes de tránsito terrestre
,Año de ocurrencia : 2022
,Causa del accidente : Total
,Clase de accidente : Total
,Cond aliento alcoholico : Total
,Cond uso cinturon : Total
,Dia de ocurrencia : Total
,Dia semana : Total
,Edad accidentado : Total
,Ent y mun de ocurrencia : Total
,Mes de ocurrencia : Total
,Sexo conductor : Total
,Superficie rodamiento : Total
,Zona ocurrio accidente : Total
,

Consulta de: Accidentes de tránsito   Por: Hora del accidente   Según: Tipo de accidente
 , Total, Sin evento, Colisión con vehículo automotor, Colisión con peatón (atropellamiento), Colisión con animal, Colisión con objeto fijo, Volcadura, Caída de pasajero, Salida del camino, Incendio, Colisión con ferrocarril, Colisión con motocicleta, Colisión con ciclista, Otro
 Total,"377,231", 0,"229,940","11,066","1,022","47,033","10,911","1,784","10,857", 348, 268,"53,629","4,048","6,325"
 Sin evento, 0, 0, , , , , , , , , , , , 
 0,"12,533", ,"6,636", 308, 48,"2,678", 527, 66, 549, 14, 7,"1,354", 91, 255
 1,"7,697", ,"3,546", 143, 31,"2,312", 356, 29, 375, 10, 10, 715, 24, 146
 2,"7,113", ,"3,081", 134, 22,"2,444", 371, 32, 390, 7, 1, 455, 21, 155
 3,"6,162", ,"2,600", 106, 24,"2,277", 299, 23, 370, 7, 3, 335, 17, 101
 4,"5,380", ,"2,049", 79, 20,"2,202", 287, 15, 336, 15, 4, 263, 16, 94
 5,"5,125", ,"2,005", 132, 22,"1,872", 314, 27, 349, 8, 5, 290, 23, 78
 6,"8,092", ,"3,975", 287, 40,"2,033", 374, 39, 418, 6, 9, 702, 89, 120
 7,"14,411", ,"8,625", 469, 48,"2,065", 434, 69, 529, 13, 12,"1,747", 185, 215
 8,"20,036", ,"13,263", 517, 46,"1,995", 479, 74, 529, 20, 12,"2,552", 274, 275
 9,"18,542", ,"12,414", 460, 33,"1,721", 457, 80, 446, 12, 16,"2,404", 225, 274
 10,"17,690", ,"11,593", 518, 25,"1,647", 438, 76, 402, 14, 11,"2,532", 181, 253
 11,"17,720", ,"11,459", 548, 32,"1,619", 428, 95, 395, 19, 13,"2,629", 197, 286
 12,"19,351", ,"12,579", 648, 26,"1,721", 458, 97, 371, 21, 15,"2,882", 206, 327
 13,"20,116", ,"13,294", 620, 24,"1,510", 431, 89, 364, 22, 9,"3,190", 225, 338
 14,"23,865", ,"16,067", 682, 23,"1,785", 448, 88, 390, 20, 24,"3,758", 248, 332
 15,"23,421", ,"15,729", 586, 23,"1,831", 486, 106, 404, 9, 17,"3,647", 240, 343
 16,"22,403", ,"14,670", 584, 25,"1,834", 530, 107, 475, 26, 14,"3,575", 203, 360
 17,"21,793", ,"13,975", 602, 43,"1,789", 552, 106, 528, 19, 14,"3,556", 262, 347
 18,"22,481", ,"14,253", 734, 41,"1,804", 574, 109, 543, 16, 18,"3,722", 321, 346
 19,"22,126", ,"13,905", 802, 85,"1,795", 623, 109, 559, 17, 11,"3,570", 276, 374
 20,"19,991", ,"11,912", 762, 106,"1,987", 602, 114, 548, 14, 13,"3,285", 267, 381
 21,"16,048", ,"8,887", 631, 95,"1,970", 524, 93, 559, 14, 13,"2,683", 214, 365
 22,"14,169", ,"7,757", 433, 77,"2,086", 491, 84, 542, 12, 10,"2,223", 148, 306
 23,"10,966", ,"5,666", 281, 63,"2,056", 428, 57, 486, 13, 7,"1,560", 95, 254


FUENTE: INEGI. Estadísticas de accidentes de tránsito terrestre en zonas urbanas y suburbanas.
