Año,Mes,Fecha_Pub_DOF,Clave ciudad,Nombre ciudad,División,Grupo,Clase,Subclase,Clave genérico,Genérico,Consecutivo,Especificación,Precio promedio,Cantidad,Unidad,Estatus
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,1,"DON PEDRO, GRAN RESERVA, ESPECIAL, BOTELLA DE 1 LT          ",234,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,2,"AZTECA DE ORO, RESERVA, BOTELLA DE 700 ML                   ",301.43,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,3,"PRESIDENTE, GRAN RESERVA, BOTELLA DE 900 ML                 ",196.94,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,4,"LOS REYES, AÑEJO, BOTELLA DE 900 ML                         ",116.67,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,5,"AZTECA DE ORO, SOLERA, BOTELLA DE 700 ML                    ",342.86,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,6,"PRESIDENTE, SOLERA, BOTELLA DE 940 ML                       ",202.13,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,7,"ST REMY, BRANDY, VSOP, BOTELLA DE 700 ML                    ",439.87,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,102,Brandy,8,"TORRES 10, AÑEJO, BOTELLA 700 ML                            ",515.69,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,103,Otros licores,1,"TRES CORONAS, JEREZ, BOTELLA, DE 1 LT                       ",125,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,103,Otros licores,2,"ABSOLUT, VODKA, BLUE, BOTELLA DE 750 ML                     ",486.65,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,103,Otros licores,3,"JOHNNIE WALKER, WHISKY, RED LABEL, BOTELLA DE 700 ML        ",612.86,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,103,Otros licores,4,"DIEGO ZAMORA, LICOR, 43, BOTELLA 700 ML                     ",759.23,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,103,Otros licores,5,"PERNOD, ANIS, BOTELLA DE 700 ML                             ",804.77,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,103,Otros licores,6,"TRES CORONAS, JEREZ, ORO DULCE, BOTELLA DE 1 LT             ",107,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,104,Ron,1,"BACARDI, BLANCO, BOTELLA DE 980 ML                          ",275.51,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,104,Ron,2,"BARAIMA, BLANCO, CLASICO, BOTELLA DE 700 ML                 ",238.57,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,104,Ron,3,"CAPITAN MORGAN, AÑEJO, BOTELLA DE 700 ML                    ",270,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,104,Ron,4,"HAVANA CLUB, AÑEJO, ESPECIAL, BOTELLA DE 700 ML             ",435.71,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,104,Ron,5,"MATUSALEM, BLANCO, PALTINO, BOTELLA DE 750 ML               ",446.67,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,105,Tequila,1,"EL JIMADOR, REPOSADO, BOTELLA 700 ML                        ",441.43,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,105,Tequila,2,"SAUZA, REPOSADO, HORNITOS, BOTELLA DE 1 LT                  ",506,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,105,Tequila,3,"CORRALEJO, REPOSADO, BOTELLA DE 1000 ML                     ",468,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,105,Tequila,4,"LAS GARRAFAS, REPOSADO, CARDENAL ROJO, BOTELLA DE 750 ML    ",1059.13,1,LT    ,
2024,5,,39,"Querétaro, Qro.","1. Alimentos, bebidas y tabaco",1.2. Bebidas alcohólicas y tabaco,1.2.1. Bebidas alcohólicas,27 Vinos y licores,105,Tequila,5,"PATRON, BLANCO, CRISTALINO, BOTELLA DE 700 ML               ",1435.03,1,LT    ,DESENCADENADO
